month,overall_pm25,peak_pm25,non_peak_pm25
1,33.615205741626795,34.51795195954488,33.06549653579677
2,30.624918080748976,31.176294851794072,30.293988764044943
3,27.567297160243406,29.12601498637602,26.643146203554117
4,27.845564311133707,28.754088471849865,27.29047911547912
5,19.34266317887394,20.77443046357616,18.4792571884984
6,19.80779858299595,21.200667115902966,18.970271474878444
7,17.087050964868876,17.83987417218543,16.63809241706161
8,15.893204556711243,16.61205766710354,15.456512738853505
9,12.907530562347189,13.837522935779818,12.354032761310453
10,13.663310502283105,14.657533602150538,13.060456397718012
11,24.276656097560974,24.369928571428574,24.220546875
