datetime,PM10,NO2,NOx,CO,Ozone,RH,station_id,PM2.5
2025-08-20 09:00:00,88,35.0,55.0,1.0,24.0,66.0,,
2025-08-20 10:00:00,92,38.0,60.0,1.1,26.0,64.0,,
2025-08-20 11:00:00,96,41.0,63.0,1.2,27.0,63.0,,
2025-08-20 12:00:00,100,45.0,68.0,1.3,28.0,62.0,,
2025-12-29 07:19:28,107,45.0,,1.37,33.0,,Peenya,52.0
2025-12-29 07:19:28,94,44.0,,1.37,23.0,,Silkboard,40.0
2025-12-29 07:19:28,83,35.0,,1.18,28.0,,RVCE_Mailsandra,63.0
2025-12-30 00:24:26,60,6.3,,4.2,13.6,62.5,Bengaluru_Central,79.0
2025-12-30 00:30:17,46,6.3,,1.3,,65.425,RVCE_Mailsandra,
2025-12-30 00:30:17,46,6.3,,1.3,,65.425,Peenya,
2025-12-30 00:30:18,117,4.2,,4.3,4.4,54.0,Silkboard,166.0
2025-12-30 11:45:45,65,11.6,,13.1,,62.5,RVCE_Mailsandra,
2025-12-30 11:45:46,43,6.7,,3.6,,65.8,Peenya,
2025-12-30 11:45:48,94,4.1,,5.0,6.3,51.0,Silkboard,153.0
2025-12-31 14:52:49,71,11.7,,13.4,,48.0,RVCE_Mailsandra,
2025-12-31 14:52:50,58,6.5,,2.3,,65.745,Peenya,
2025-12-31 14:52:51,103,5.1,,4.7,2.5,50.0,Silkboard,153.0
2025-12-31 15:56:43,72,11.6,,13.0,,51.0,RVCE_Mailsandra,
2025-12-31 15:56:45,58,6.4,,2.3,,65.765,Peenya,
2025-12-31 15:56:46,95,7.5,,4.8,3.4,50.0,Silkboard,150.0
2025-12-31 16:05:02,72,11.6,,13.0,,51.0,RVCE_Mailsandra,
2025-12-31 16:05:03,58,6.4,,2.3,,65.765,Peenya,
2025-12-31 16:05:05,95,7.5,,4.8,3.4,50.0,Silkboard,150.0
2026-01-09 14:10:09,93,7.1,,7.3,4.0,49.0,RVCE_Mailsandra,113.0
2026-01-09 14:10:12,52,6.4,,2.3,,65.94,Peenya,
2026-01-09 14:10:14,96,22.5,,8.4,21.8,50.0,Silkboard,117.0
2026-01-09 14:43:02,91,7.2,,7.3,4.0,48.0,RVCE_Mailsandra,96.0
2026-01-09 14:43:04,52,6.7,,3.0,,65.87,Peenya,
2026-01-09 14:43:05,96,22.5,,8.4,21.8,50.0,Silkboard,117.0
